sec,CH1,CH40,
0.462,0.343628,0,
0.463,0.340576,0,
0.464,0.336609,0,
0.465,0.331726,0,
0.466,0.326233,0,
0.467,0.32074,0,
0.468,0.314941,0,
0.469,0.309143,0,
0.47,0.30304,0,
0.471,0.296936,0,
0.472,0.290527,0,
0.473,0.284424,0,
0.474,0.27832,0,
0.475,0.272522,0,
0.476,0.266418,0,
0.477,0.260315,0,
0.478,0.254517,0,
0.479,0.248718,0,
0.48,0.24353,0,
0.481,0.238037,0,
0.482,0.232544,0,
0.483,0.227051,0,
0.484,0.220947,0,
0.485,0.214539,0,
0.486,0.207825,0,
0.487,0.200806,0,
0.488,0.193481,0,
0.489,0.185852,0,
0.49,0.178223,0,
0.491,0.169983,0,
0.492,0.161438,0,
0.493,0.152893,0,
0.494,0.144653,0,
0.495,0.136414,0,
0.496,0.128479,0,
0.497,0.121155,0,
0.498,0.114136,0,
0.499,0.107422,0,
0.5,0.100708,0,
0.501,0.0939941,0,
0.502,0.0875854,0,
0.503,0.0814819,0,
0.504,0.0753784,0,
0.505,0.0695801,0,
0.506,0.0634766,0,
0.507,0.0576782,0,
0.508,0.0515747,0,
0.509,0.0457764,0,
0.51,0.0396729,0,
0.511,0.0335693,0,
0.512,0.0274658,0,
0.513,0.0216675,0,
0.514,0.0161743,0,
0.515,0.0109863,0,
0.516,0.00610352,0,
0.517,0.00152588,0,
0.518,-0.00305176,0,
0.519,-0.00701904,0,
0.52,-0.0106812,0,
0.521,-0.0140381,0,
0.522,-0.017395,0,
0.523,-0.0201416,0,
0.524,-0.0228882,0,
0.525,-0.0250244,0,
0.526,-0.0268555,0,
0.527,-0.0289917,0,
0.528,-0.0311279,0,
0.529,-0.0332642,0,
0.53,-0.0360107,0,
0.531,-0.0387573,0,
0.532,-0.0415039,0,
0.533,-0.0445557,0,
0.534,-0.0469971,0,
0.535,-0.0497437,0,
0.536,-0.0521851,0,
0.537,-0.0540161,0,
0.538,-0.0558472,0,
0.539,-0.0570679,0,
0.54,-0.0579834,0,
0.541,-0.0582886,0,
0.542,-0.0582886,0,
0.543,-0.0579834,0,
0.544,-0.0570679,0,
0.545,-0.0558472,0,
0.546,-0.0537109,0,
0.547,-0.0509644,0,
0.548,-0.0479126,0,
0.549,-0.0445557,0,
0.55,-0.0408936,0,
0.551,-0.0375366,0,
0.552,-0.03479,0,
0.553,-0.0323486,0,
0.554,-0.0302124,0,
0.555,-0.0289917,0,
0.556,-0.0283813,0,
0.557,-0.027771,0,
0.558,-0.0274658,0,
0.559,-0.0271606,0,
0.56,-0.0271606,0,
0.561,-0.0274658,0,
0.562,-0.0280762,0,
0.563,-0.0286865,0,
0.564,-0.0299072,0,
0.565,-0.0311279,0,
0.566,-0.0323486,0,
0.567,-0.0335693,0,
0.568,-0.03479,0,
0.569,-0.0354004,0,
0.57,-0.0360107,0,
0.571,-0.0360107,0,
0.572,-0.0357056,0,
0.573,-0.0350952,0,
0.574,-0.0341797,0,
0.575,-0.0332642,0,
0.576,-0.0320435,0,
0.577,-0.0311279,0,
0.578,-0.0302124,0,
0.579,-0.0292969,0,
0.58,-0.0286865,0,
0.581,-0.0280762,0,
0.582,-0.0274658,0,
0.583,-0.0271606,0,
0.584,-0.0271606,0,
0.585,-0.0271606,0,
0.586,-0.027771,0,
0.587,-0.0289917,0,
0.588,-0.0305176,0,
0.589,-0.0323486,0,
0.59,-0.0341797,0,
0.591,-0.0363159,0,
0.592,-0.0378418,0,
0.593,-0.0393677,0,
0.594,-0.0402832,0,
0.595,-0.0411987,0,
0.596,-0.0418091,0,
0.597,-0.0421143,0,
0.598,-0.0424194,0,
0.599,-0.0421143,0,
0.6,-0.0415039,0,
0.601,-0.0405884,0,
0.602,-0.0396729,0,
0.603,-0.0384521,0,
0.604,-0.0369263,0,
0.605,-0.0354004,0,
0.606,-0.0335693,0,
0.607,-0.0317383,0,
0.608,-0.0299072,0,
0.609,-0.0283813,0,
0.61,-0.0268555,0,
0.611,-0.0259399,0,
0.612,-0.0253296,0,
0.613,-0.0250244,0,
0.614,-0.0253296,0,
0.615,-0.0259399,0,
0.616,-0.0265503,0,
0.617,-0.0274658,0,
0.618,-0.0283813,0,
0.619,-0.0292969,0,
0.62,-0.0302124,0,
0.621,-0.0308228,0,
0.622,-0.0314331,0,
0.623,-0.0317383,0,
0.624,-0.0317383,0,
0.625,-0.0317383,0,
0.626,-0.0317383,0,
0.627,-0.0311279,0,
0.628,-0.0308228,0,
0.629,-0.0302124,0,
0.63,-0.0296021,0,
0.631,-0.0292969,0,
0.632,-0.0286865,0,
0.633,-0.0283813,0,
0.634,-0.0283813,0,
0.635,-0.0283813,0,
0.636,-0.0289917,0,
0.637,-0.0296021,0,
0.638,-0.0302124,0,
0.639,-0.0314331,0,
0.64,-0.0326538,0,
0.641,-0.0338745,0,
0.642,-0.0357056,0,
0.643,-0.0372314,0,
0.644,-0.0387573,0,
0.645,-0.0396729,0,
0.646,-0.0396729,0,
0.647,-0.0390625,0,
0.648,-0.0375366,0,
0.649,-0.0357056,0,
0.65,-0.0332642,0,
0.651,-0.0308228,0,
0.652,-0.0283813,0,
0.653,-0.0262451,0,
0.654,-0.0241089,0,
0.655,-0.022583,0,
0.656,-0.0210571,0,
0.657,-0.0198364,0,
0.658,-0.0186157,0,
0.659,-0.0177002,0,
0.66,-0.0167847,0,
0.661,-0.0164795,0,
0.662,-0.0161743,0,
0.663,-0.0161743,0,
0.664,-0.0161743,0,
0.665,-0.0164795,0,
0.666,-0.0167847,0,
0.667,-0.0170898,0,
0.668,-0.017395,0,
0.669,-0.0180054,0,
0.67,-0.0189209,0,
0.671,-0.0198364,0,
0.672,-0.0204468,0,
0.673,-0.020752,0,
0.674,-0.0210571,0,
0.675,-0.0210571,0,
0.676,-0.0213623,0,
0.677,-0.0219727,0,
0.678,-0.0228882,0,
0.679,-0.0244141,0,
0.68,-0.0262451,0,
0.681,-0.0283813,0,
0.682,-0.0305176,0,
0.683,-0.032959,0,
0.684,-0.03479,0,
0.685,-0.0363159,0,
0.686,-0.0375366,0,
0.687,-0.038147,0,
0.688,-0.0378418,0,
0.689,-0.0372314,0,
0.69,-0.0357056,0,
0.691,-0.0338745,0,
0.692,-0.0314331,0,
0.693,-0.0286865,0,
0.694,-0.0256348,0,
0.695,-0.022583,0,
0.696,-0.0201416,0,
0.697,-0.0177002,0,
0.698,-0.015564,0,
0.699,-0.0131226,0,
0.7,-0.0106812,0,
0.701,-0.00823975,0,
0.702,-0.00610352,0,
0.703,-0.00427246,0,
0.704,-0.00335693,0,
0.705,-0.00366211,0,
0.706,-0.00549316,0,
0.707,-0.0088501,0,
0.708,-0.0131226,0,
0.709,-0.0183105,0,
0.71,-0.0234985,0,
0.711,-0.0286865,0,
0.712,-0.0335693,0,
0.713,-0.0384521,0,
0.714,-0.0427246,0,
0.715,-0.0469971,0,
0.716,-0.0506592,0,
0.717,-0.0540161,0,
0.718,-0.0567627,0,
0.719,-0.0592041,0,
0.72,-0.06073,0,
0.721,-0.0613403,0,
0.722,-0.0610352,0,
0.723,-0.0598145,0,
0.724,-0.057373,0,
0.725,-0.0546265,0,
0.726,-0.0509644,0,
0.727,-0.0473022,0,
0.728,-0.0436401,0,
0.729,-0.0402832,0,
0.73,-0.0369263,0,
0.731,-0.0344849,0,
0.732,-0.0323486,0,
0.733,-0.0308228,0,
0.734,-0.0302124,0,
0.735,-0.0299072,0,
0.736,-0.0299072,0,
0.737,-0.0305176,0,
0.738,-0.0314331,0,
0.739,-0.0326538,0,
0.74,-0.0338745,0,
0.741,-0.0354004,0,
0.742,-0.0369263,0,
0.743,-0.0387573,0,
0.744,-0.0405884,0,
0.745,-0.0424194,0,
0.746,-0.0442505,0,
0.747,-0.0460815,0,
0.748,-0.0476074,0,
0.749,-0.0485229,0,
0.75,-0.0494385,0,
0.751,-0.050354,0,
0.752,-0.0509644,0,
0.753,-0.0515747,0,
0.754,-0.0521851,0,
0.755,-0.0531006,0,
0.756,-0.0537109,0,
0.757,-0.0543213,0,
0.758,-0.0543213,0,
0.759,-0.0543213,0,
0.76,-0.0540161,0,
0.761,-0.0537109,0,
0.762,-0.0537109,0,
0.763,-0.0537109,0,
0.764,-0.0537109,0,
0.765,-0.0537109,0,
0.766,-0.0540161,0,
0.767,-0.0543213,0,
0.768,-0.0546265,0,
0.769,-0.0549316,0,
0.77,-0.0549316,0,
0.771,-0.0549316,0,
0.772,-0.0549316,0,
0.773,-0.0546265,0,
0.774,-0.0543213,0,
0.775,-0.0537109,0,
0.776,-0.0534058,0,
0.777,-0.0524902,0,
0.778,-0.0515747,0,
0.779,-0.050354,0,
0.78,-0.0488281,0,
0.781,-0.0469971,0,
0.782,-0.045166,0,
0.783,-0.0436401,0,
0.784,-0.0421143,0,
0.785,-0.0411987,0,
0.786,-0.0402832,0,
0.787,-0.0396729,0,
0.788,-0.0393677,0,
0.789,-0.0396729,0,
0.79,-0.0402832,0,
0.791,-0.0415039,0,
0.792,-0.0430298,0,
0.793,-0.045166,0,
0.794,-0.0473022,0,
